 ,Ag_j,Al_j,As_j,B_j,C_j,Ca_j,Ce_j,Co_j,Cr_j,Cu_j,Ge_j,H_j,Hf_j,La_j,Mn_j,Mo_j,N_j,Nb_j,Ni_j,O_j,P_j,Pb_j,S_j,Sb_j,Si_j,Sn_j,Ta_j,Ti_j,U_j,V_j,W_j,Zr_j,Ga_j,Re_j,In_j
Ag,-18.73223202,-8.388309558,0,0,11.52919733,0,0,0,-1.999441674,0,0,0,0,0,0,0,0,0,0,-5.821175862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,-8.388309558,5.303439027,0,0,5.294119213,-7.51684095,0,0,0,0,0,1.963988152,0,0,0,0,1.685022089,0,0,-129.7216913,4.635548852,2.770434827,4.920961568,0,6.973164464,0,0,0,7.084479493,0,0,0,0,0,0
As,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,5.198733532,0,0,0,0,0,0.890901066,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,2.434526054,11.68624221,0,0,0,0,0,0,3.393335754,0,0,-0.178592403,0,4.967589379,0,0,-13.02014836,1.310973128,0,6.594788613,0,9.53494973,0,0,0,0,0,0,0,0,0,0
C,11.52919733,5.294119213,7.63,11.68624221,12.82592305,-15.75614207,-3.011753999,1.721100713,-1.74,3.96872948,0,3.758027642,0,2.271487411,-1.857318317,-7.3,7.10567279,-2.6,2.307261408,-20.07616739,6.9624642,5.586849001,6.25,6.354870064,3.62,9.391403076,-168.9577257,0,0,-5.988005631,-7.38,0,2.63,0,0
Ca,0,-7.51684095,0,0,-15.75614207,-0.04829229,0,0,0,0,0,0,0,0,0,0,0,0,-10.67015196,-38283.41653,0,0,-18187.75419,0,-10.66606291,0,0,0,0,0,0,0,0,0,0
Ce,0,0,0,0,-3.011753999,0,0.745652484,0,0,0,0,-1.508791406,0,0,29.48113873,0,0,0,0,-36963.27411,0,0,-5261.877868,0,0,0,0,0,0,0,0,0,0,0,0
Co,0,0,0,0,1.721100713,0,0,1.182351081,-4.724812365,0,0,0.382437671,0,0,-0.915586375,0,2.862412377,0,0,1.889873277,0.917334176,-0.053731221,0.5615,0,4.6,0,0,0,0,0,0,0,0,0,0
Cr,-1.999441674,0,0,0,-1.74,0,0,-4.724812365,0.004649947,3.930276234,0,-0.431888657,0,0,0.885853202,0.004649947,-9.767850348,0,-0.002482274,-9.93,-3.771504784,4.359306429,-2.1,0,0.5,3.194615034,0,0,0,2.609858079,0,0,0,0,0
Cu,0,0,0,0,3.96872948,0,0,0,3.930276234,-5.381104918,0,0.191864897,0,0,0,0,2.200887395,0,0,-3.545947382,-8.276816573,-7.278790128,-2.277520439,0,3.625603596,-6.429766367,0,0,0,0,0,0,0,0,0
