Ag,200,5.298317367
Al,0.049,-3.015934981
As,0.0089,-4.721704002
B,0.022,-3.816712826
C,0.538,-0.619896719
Ca,2270,7.72753511
Ce,0.322,-1.133203733
Co,0.55,-0.597837001
Cr,1,0
Cu,8.58,2.149433913
Ga,1,0
Ge,0.02,-3.912023005
H,1,0
Hf,1,0
In,27.1126,3.299998564
La,9.3,2.2300144
Mn,1.44,0.364643114
Mo,1,0
N,1,0
Nb,0.2,-1.609437912
Ni,0.66,-0.415515444
O,1,0
P,1,0
Pb,837,6.72982407
Re,1,0
S,1,0
Sb,0.3325,-1.101115419
Si,0.0045,-5.403677882
Sn,2.58,0.947789399
Ta,0.04,-3.218875825
Ti,0.004,-5.521460918
U,0.027,-3.611918413
V,0.08,-2.525728644
W,3,1.098612289
Zr,0.037,-3.296837366
